BlockTimeStamp,BlockMiner,BlockDifficulty,BlockSize,BlockNo,BlockGasLimit,BlockGasUsed,BlockTransactions,BlockUncles,MinTxStart,MaxTxStart,MinTxEnd,MaxTxEnd,TxGasUsed,AverageLatency,Iteration
1594748925,0x0000000000000000000000000000000000000000,2,746,155,228894000,83149,1,0,1594748924,1594749025,1594748924,1594749026,83149,1.0181,1
1594748927,0x0000000000000000000000000000000000000000,2,881,156,228894000,76298,2,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748929,0x0000000000000000000000000000000000000000,2,19255,157,228894000,5302711,139,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748931,0x0000000000000000000000000000000000000000,2,19948,158,228894000,5455307,143,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748933,0x0000000000000000000000000000000000000000,2,43582,159,228894000,12055084,316,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748935,0x0000000000000000000000000000000000000000,2,12579,160,228894000,3357112,88,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748937,0x0000000000000000000000000000000000000000,2,47801,161,228894000,13237703,347,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748939,0x0000000000000000000000000000000000000000,2,25635,162,228894000,7019416,184,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748945,0x0000000000000000000000000000000000000000,2,71056,165,228894000,19761182,518,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748947,0x0000000000000000000000000000000000000000,2,30526,166,228894000,8392780,220,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748949,0x0000000000000000000000000000000000000000,2,15029,167,228894000,4043794,106,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748951,0x0000000000000000000000000000000000000000,2,6869,168,228894000,1754854,46,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748953,0x0000000000000000000000000000000000000000,2,49162,169,228894000,13619193,357,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748955,0x0000000000000000000000000000000000000000,2,38280,170,228894000,10567273,277,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748957,0x0000000000000000000000000000000000000000,2,18292,171,228894000,4959370,130,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748959,0x0000000000000000000000000000000000000000,2,11357,172,228894000,3013771,79,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748961,0x0000000000000000000000000000000000000000,2,38691,173,228894000,10681720,280,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748963,0x0000000000000000000000000000000000000000,2,34472,174,228894000,9499101,249,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748965,0x0000000000000000000000000000000000000000,2,33116,175,228894000,9117611,239,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748969,0x0000000000000000000000000000000000000000,2,59495,177,228894000,16518517,433,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748971,0x0000000000000000000000000000000000000000,2,28898,178,228894000,7934992,208,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
1594748973,0x0000000000000000000000000000000000000000,2,6053,179,228894000,1525960,40,0,1594748924,1594749025,1594748924,1594749026,38149,1.0181,1
